1. Lionel Messi – Paris Saint-Germain, Argentina, Delantero.
2. Neymar – Paris Saint-Germain, Brasil, Delantero.
3. Edinson Cavani – Manchester United, Uruguay, Delantero.
4. Gabriel Jesus – Manchester City, Brasil, Delantero.
5. Luis Suárez – Atlético Madrid, Uruguay, Delantero.
6. James Rodríguez – Al-Rayyan, Colombia, Mediocampista.
7. Arturo Vidal – Inter Milan, Chile, Mediocampista.
8. Paolo Guerrero – Internacional, Perú, Delantero.
9. Alexis Sánchez – Inter Milan, Chile, Delantero.
10. Sergio Agüero – Barcelona, Argentina, Delantero.
11. Radamel Falcao – Rayo Vallecano, Colombia, Delantero.
12. Thiago Silva – Chelsea, Brasil, Defensor.
13. Lautaro Martínez – Inter Milan, Argentina, Delantero.
14. Philippe Coutinho – Barcelona, Brasil, Mediocampista.
15. Marcelo – Real Madrid, Brasil, Defensor.
16. Casemiro – Real Madrid, Brasil, Mediocampista.
17. José María Giménez – Atlético Madrid, Uruguay, Defensor.
18. Paulo Dybala – Juventus, Argentina, Delantero.
19. Carlos Vela – Los Angeles FC, México, Delantero.
20. Giovani Lo Celso – Tottenham Hotspur, Argentina, Mediocampista.
